No	ExtEHR resource	ExtEHR field	ExtEHR #	ExtEHR description	ExtEHR type	Ext binding	ExtEHR source	Mapped Resource	Mapped Field	EQ				Modeling	Needs work	Actor	Section	R4Mapped Resource	R4Mapped Field	EQ				Modeling	Needs work	Actor	Section	
140	EHDSCarePlan	title	0..1	Human-friendly name for the care plan	string		Human-friendly name for the care plan	EuCarePlan	title.extension[http://hl7.org/fhir/StructureDefinition/rendering-xhtml]	SB						R				SB						R		
141	EHDSCarePlan	description	0..1	A description of the scope and nature of the plan.	string		A description of the scope and nature of the plan.	EuCarePlan	description	SB	Source is modelled as Narrative (html), target as string					R	Recommendation			SB	Source is modelled as Narrative (html), target as string					R	Recommendation	
142	EHDSCarePlan	description						EuCarePlan	description.extension[http://hl7.org/fhir/StructureDefinition/rendering-xhtml]	SB						R				SB						R		
143	EHDSCarePlan	period	0..1	Indicates when the plan did (or is intended to) come into effect and end.	Period		Indicates when the plan did (or is intended to) come into effect and end.	EuCarePlan	subject	EQ		EuPatient				R				EQ		EuPatient				R		
144	EHDSCarePlan	addresses	0..*	Conditions/problems/concerns/diagnoses/etc. whose management and/or mitigation are handled by this plan.	CodeableConcept	ICD-10, SNOMED CT, Orphacode (preferred)	Conditions/problems/concerns/diagnoses/etc. whose management and/or mitigation are handled by this plan.		extension																			
145	EHDSCarePlan	activity[x]	0..1	The details of the proposed activity represented in a specific resource.	string		The details of the proposed activity represented in a specific resource.	EuCarePlan	activity	EQ						R	Recommendation			EQ						R	Recommendation	
146	EHDSCarePlan	activity[x]	0..1	The details of the proposed activity represented in a specific resource.	Reference		The details of the proposed activity represented in a specific resource.																					
147	EHDSCondition		0..*	EHDS refined base model for a clinical condition, problem, diagnosis, or other event, situation, issue, or clinical concept that has risen to a level of concern.			Condition model	EuCondition								R										R		R
148	EHDSCondition	header	1..1	Common header for all patient-related data	Base		Common header for all patient-related data	EuCondition																				
149	EHDSCondition	header.subject	1..1	Patient/subject information	EHDSPatient		Subject	EuCondition	subject	EQ						R				EQ						R		
150	EHDSCondition	header.identifier	0..*	Business identifier for the object	Identifier		Business identifier for the object	EuCondition	identifier	EQ						R				EQ						R		
151	EHDSCondition	header.authorship	1..*	Resource authoring details	Base		Authorship	EuCondition																				
152	EHDSCondition	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSHealthProfessional		Author	EuCondition	participant	EQ					Define if slices are needed	R				EQ					Define if slices are needed	R		
153	EHDSCondition	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSOrganisation		Author	EuCondition	participant	EQ						R				EQ						R		
154	EHDSCondition	header.authorship.author[x]	1..1	Author(s) by whom the resource was/were authored. Multiple authors could be provided.	EHDSDevice		Author	EuCondition	participant	EQ						R				EQ						R		
155	EHDSCondition	header.authorship.datetime	1..1	Date and time of the issuing the document/resource by its author.	dateTime		Date and time of authoring/issuing	EuCondition	recordedDate	EQ						R				EQ						R		
156	EHDSCondition	header.lastUpdate	0..1	Date and time of the last update to the document/information	dateTime		Date and time of the last update to the resource	EuCondition	meta.lastUpdated	EQ						R				EQ						R		
157	EHDSCondition	header.status	1..1	Status of the resource	CodeableConcept		Status of the resource	EuCondition		EQ				The status of the information is covered by the mapping of ProblemStatus and DiagnosticAssertionStatus. The resource instance status is handled by the server and is opaque to the information modeling.	The status of the resource is handled by the server, there is no good place to map this against	R				EQ				The status of the information is covered by the mapping of ProblemStatus and DiagnosticAssertionStatus. The resource instance status is handled by the server and is opaque to the information modeling.	The status of the resource is handled by the server, there is no good place to map this against	R		
158	EHDSCondition	header.statusReason[x]	0..1	Reason for the current status of the resource.	CodeableConcept		Reason for the current status of the resource.	EuCondition	extension[status-reason]	EQ						R				EQ						R		
159	EHDSCondition	header.statusReason[x]	0..1	Reason for the current status of the resource.	string		Reason for the current status of the resource.	EuCondition	extension[status-reason].valueCodeableConcept.text	EQ						R				EQ						R		
